title	link	date	title_corrected	summary
A genuine refugee - Trinidad & Tobago Express	https://trinidadexpress.com/opinion/columnists/a-genuine-refugee/article_e3940c88-1926-11e9-b8d0-afe73a826c41.html	2019-01-15	A genuine refugee	The United Nations has declared that the 18-year-old Saudi who fled from her parents and took a flight from Kuwait to Bangkok last week is a genuine refugee. Rahaf Mohammed Alqunun had barricaded herself in a hotel room in the Thai capital when attempts were made originally to meet with her. She on the other hand expressed fears over any such meeting. 
Venezuelans protest over T&T's refugee policy - Trinidad Guardian	http://www.guardian.co.tt/news/venezuelans-protest-over-tts-refugee-policy-6.2.760423.df5e4c2912	2019-01-19	Venezuelans protest over T&T's refugee policy	On November 23, Attorney General Faris Al-Rawi said T&T was not ready to establish laws here regarding people seeking asylum and refugee status as it cannot afford to, especially with regards to housing and education. He was responding to statements by Amnesty International and attorney Dr Emir Crowne who both pointed out that the country has laws for refugees as a signatory to the 1951 Refugee Convention and its 1967 Protocol. He said T&T was a “dualistic” country and for international law to be established it must be enacted by an act of Parliament, similar with the Foreign Account Tax Compliance Act and Global Forum. 
Venezuelan refugees want respect, dignity - Trinidad News	https://newsday.co.tt/2019/01/19/venezuelan-refugees-want-respect-dignity/	2019-01-19	Venezuelan refugees want respect, dignity	None 
La Guerre: Brace for influx of migrants - Trinidad Guardian	http://www.guardian.co.tt/news/la-guerre-brace-for-influx-of-migrants-6.2.765080.a16256234e	2019-01-24	La Guerre: Brace for influx of migrants	La Guerre was speaking with Guardian Media, as he weighed in on Venezuela's mounting turmoil, following Wednesday's protest action by thousands against President Nicolas Maduro. He also advised that we secure our sea borders, as more Venezuelans would be tempted to come here illegally, given the tense political climate. But that does not mean you would take any and every asylum case as legitimate. 
Addressing the needs of migrants, refugees - Trinidad Guardian	http://www.guardian.co.tt/opinion/addressing-the-needs-of-migrants-refugees-6.2.764599.f929fcdca0	2019-01-25	Addressing the needs of migrants, refugees	Whatever their status, they are human beings, endowed by God with a dignity that is inherent, inalienable and inviolable. Each parish has been charged with responsibility by His Grace to establish a Ministry for Migrants and Refugees. UNICEF and UNHCR are working with Living Water Community to provide limited educational opportunities for children concerned, but this is not an ideal situation. 
Bringing relief to refugees - Trinidad & Tobago Express	https://trinidadexpress.com/opinion/editorials/bringing-relief-to-refugees/article_50bfebd4-235d-11e9-b52f-47105f9a4423.html	2019-01-28	Bringing relief to refugees	IN a move announced last Friday, hesitant and tentative as it may have been, the Prime Minister’s statement on providing special identification cards for Venezuelan nationals in Trinidad and Tobago is a welcome step forward. Dr Rowley made this disclosure as he addressed the hour-by-hour changing situation with our neighbours next door. The report reveals details of complaints by asylum-seekers about having to pay a “security bond” as a condition of release from prison.” There have been questions about whether, in fact, some of those persons should have been detained in prison in the first place, as distinct from the Immigration Detention Centre. 
UNHCR records 6000 refugees from 32 countries - Trinidad Guardian	http://www.guardian.co.tt/news/unhcr-records-6000-refugees-from-32-countries-6.2.769432.5a52fc39c0	2019-01-30	UNHCR records 6000 refugees from 32 countries	Some countries include Sri Lanka, Pakistan, Bangladesh, Congo, Sudan, Haiti, Uganda and Colombia. Questioned how many refugees from across the globe have come to T&T in the last year, Barbado said as of last September they had 6,000 people registered with them. Barbado said his greatest concern was the conditions in which refugees live. 
Mayor wants UNHCR desk in Central for refugees - Trinidad Guardian	http://www.guardian.co.tt/news/mayor-wants-unhcr-desk-in-central-for-refugees-6.2.769906.fd7956fb0a	2019-01-31	Mayor wants UNHCR desk in Central for refugees	Boodhan said there were over 2,000 refugees in Chaguanas and environs. The mayor said he was very concerned about the welfare of refugees and recalled meeting Cubans in Chaguanas who have children that are not in school. Boodhan said he expressed these concerns to the UNHCR representatives. 
Church reaches out to help Cuban refugees - Trinidad Guardian	http://www.guardian.co.tt/news/church-reaches-out-to-help-cuban-refugees-6.2.773704.192eacfc03	2019-02-05	Church reaches out to help Cuban refugees	"For the past four days they have been living in makeshift tents covered by tarpaulins and strips of plastics. Three months ago, 87 Cuban nationals were charged with obstructing a free passageway and removed by police after they camped outside the UN House, in Port-of-Spain seeking the organisation's assitance. ""We are feeling happier and safer now,"" said Andris Gonzalez, one of Cubans who spoke for the group. "
'South, Central Americans posing as refugees in T&T' - Trinidad & Tobago Express	https://trinidadexpress.com/news/local/south-central-americans-posing-as-refugees-in-t-t/article_7ce82d1a-3187-11e9-8695-9739c8c6414d.html	2019-02-15	'South, Central Americans posing as refugees in T&T'	He said there is a significant number of people that cannot be easily identified as they come to this country without any documents. He added that it takes a while to identify these people as they may not be truthful about their country of origin. But he said some 50 per cent of people breach the order and do not report as required. 
Catholic Church to provide schools for migrant children - Trinidad Guardian	http://www.guardian.co.tt/news/catholic-church-to-provide-schools-for-migrant-children-6.2.798954.490e0f33e6	2019-03-11	Catholic Church to provide schools for migrant children	Coordinator of the Church’s Ministry of Migrants, Rochelle Nakhid, told Guardian Media that the schools will be safe spaces for children in what she calls temporal learning centres. The Archbishop recently said in an interview, “While we must do what is right to meet the needs of our own citizens, we must also show compassion and hospitality and ensure that refugees in need of protection and support are treated according to international standards.” He added, “Refugees have been welcome throughout the whole of history. He insisted that this country will do what it has to for the children of refugees and it will be done in keeping with the international agreements governing children of migrants. 
